,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,sub002,8,6,0,,0,,,,,,,
1,sub002,8,7,2,,0,,,,,,,
2,sub002,8,8,4,,0,,,,,,,
3,sub002,8,9,6,C,0.0,,1,0.2666815339907771,,18.0138928439992,19.03056454299076,19.930564280992257
4,sub002,8,10,8,,0,,,,,,,
5,sub002,8,11,10,B,0.0,,2,-0.13332522900600452,,22.013924225000665,23.030594739000662,23.930608816997847
6,sub002,8,12,12,,0,,,,,,,
7,sub002,8,13,14,,0,,,,,,,
8,sub002,8,14,16,C,0.0,,1,0.06668152000929695,,28.013977928989334,29.030652638000902,29.93066633999115
9,sub002,8,15,18,,0,,,,,,,
10,sub002,8,16,20,,0,,,,,,,
11,sub002,8,17,22,A,0.0,,1,0.7833494009973947,,34.014040823996766,35.03071287799685,35.93072860399843
12,sub002,8,18,24,,0,,,,,,,
13,sub002,8,19,26,,0,,,,,,,
14,sub002,8,20,28,D,0.0,,2,-0.2666621599928476,,40.01409953698749,41.03078565999749,41.930783239993616
15,sub002,8,21,30,,0,,,,,,,
16,sub002,8,22,32,,0,,,,,,,
17,sub002,8,23,34,B,0.0,,2,-0.18332864400872495,,46.01416239699756,47.030835706988,47.93083958799252
18,sub002,8,24,36,,0,,,,,,,
19,sub002,8,25,38,,0,,,,,,,
20,sub002,8,26,40,,0,,,,,,,
21,sub002,8,27,42,D,0.0,,2,-0.1666530079965014,,54.014231620996725,55.030920227000024,55.93091762199765
22,sub002,8,28,44,,0,,,,,,,
23,sub002,8,29,46,,0,,,,,,,
24,sub002,8,30,48,C,0.0,,1,-0.1499967740091961,,60.01429630799976,61.030969783998444,61.930974240996875
25,sub002,8,31,50,,0,,,,,,,
26,sub002,8,32,52,A,0.0,,1,0.2666709499899298,,64.01433254400035,65.0309986499924,65.93103030999191
27,sub002,8,33,54,,0,,,,,,,
28,sub002,8,34,56,,0,,,,,,,
29,sub002,8,35,58,B,0.0,,2,-0.34999703799257986,,70.01439390498854,71.03105931899336,71.93106866900052
30,sub002,8,36,60,,0,,,,,,,
31,sub002,8,37,62,,0,,,,,,,
32,sub002,8,38,64,D,0.0,,2,0.033421283995267004,,76.01444564199483,77.03111757599982,77.93112934399687
33,sub002,8,39,66,,0,,,,,,,
34,sub002,8,40,68,A,0.0,,1,-0.14999417299986817,,80.0144886449998,81.03116172298905,81.93116665899288
35,sub002,8,41,70,,0,,,,,,,
36,sub002,8,42,72,,0,,,,,,,
37,sub002,8,43,74,,0,,,,,,,
38,sub002,8,44,76,B,0.0,,2,0.3500153280037921,,88.0145590769971,89.03123377999873,89.93124522198923
39,sub002,8,45,78,,0,,,,,,,
40,sub002,8,46,80,D,0.0,,2,-0.1999949250021018,,92.01460282198968,93.03126785199856,93.93128402999719
41,sub002,8,47,82,,0,,,,,,,
42,sub002,8,48,84,,0,,,,,,,
43,sub002,8,49,86,C,0.0,,1,-0.050019910995615646,,98.01468281599227,99.03132702599396,99.93133814899193
44,sub002,8,50,88,,0,,,,,,,
45,sub002,8,51,90,,0,,,,,,,
46,sub002,8,52,92,,0,,,,,,,
47,sub002,8,53,94,A,0.0,,1,-0.03332462700200267,,106.01473712999723,107.03140998698655,107.9314184269897
48,sub002,8,54,96,,0,,,,,,,
49,sub002,8,55,98,B,0.0,,2,-0.34999451600015163,,110.0147703949915,111.0314378139883,111.93145336899033
50,sub002,8,56,100,,0,,,,,,,
51,sub002,8,57,102,D,0.0,,2,-0.21666047899634577,,114.01480599299248,115.03147393399558,115.93149313399044
52,sub002,8,58,104,,0,,,,,,,
53,sub002,8,59,106,A,0.0,,1,-0.16666028500185348,,118.0148468339903,119.03152376499202,119.93152523098979
54,sub002,8,60,108,,0,,,,,,,
55,sub002,8,61,110,C,0.0,,1,-0.23332406498957425,,122.01488085198798,123.03155267299735,123.93156446199282
56,sub002,8,62,112,,0,,,,,,,
57,sub002,8,63,114,A,0.0,,1,0.3666805519897025,,126.01491987799818,127.03159461199539,127.9316094359965
58,sub002,8,64,116,,0,,,,,,,
59,sub002,8,65,118,D,0.0,,2,0.09998956699564587,,130.0149798469938,131.03163078599027,131.93164221799816
60,sub002,8,66,120,,0,,,,,,,
61,sub002,8,67,122,,0,,,,,,,
62,sub002,8,68,124,C,0.0,,1,-0.06665961700491607,,136.01501508599904,137.0316829689982,137.93169547298749
63,sub002,8,69,126,,0,,,,,,,
64,sub002,8,70,128,,0,,,,,,,
65,sub002,8,71,130,,0,,,,,,,
66,sub002,8,72,132,B,0.0,,2,-0.1166675819986267,,144.0151072459994,145.03177058800065,145.9317782779981
67,sub002,8,73,134,,0,,,,,,,
68,sub002,8,74,136,,0,,,,,,,
69,sub002,8,75,138,,0,,,,,,,
70,sub002,8,76,140,D,0.0,,2,-0.21665861799556296,,152.01516572099354,153.03184249199694,153.93185828298738
71,sub002,8,77,142,,0,,,,,,,
72,sub002,8,78,144,,0,,,,,,,
73,sub002,8,79,146,,0,,,,,,,
74,sub002,8,80,148,C,0.0,,1,-0.18332234599802177,,160.0152495039947,161.03192166399094,161.93193362499005
75,sub002,8,81,150,,0,,,,,,,
76,sub002,8,82,152,,0,,,,,,,
77,sub002,8,83,154,,0,,,,,,,
78,sub002,8,84,156,B,0.0,,2,0.23334481100027915,,168.0153227749979,169.03199989598943,169.9320095039875
79,sub002,8,85,158,,0,,,,,,,
80,sub002,8,86,160,,0,,,,,,,
81,sub002,8,87,162,A,0.0,,1,0.3166800520120887,,174.01538071398681,175.0320515739877,175.93206248499337
82,sub002,8,88,164,,0,,,,,,,
83,sub002,8,89,166,B,0.0,,2,-0.1499949199933326,,178.01542077498743,179.03209311398678,179.932105408996
84,sub002,8,90,168,,0,,,,,,,
85,sub002,8,91,170,,0,,,,,,,
86,sub002,8,92,172,C,0.0,,1,-0.3158439010003349,,184.015483819996,185.03215166598966,185.93216445899452
87,sub002,8,93,174,,0,,,,,,,
88,sub002,8,94,176,,0,,,,,,,
89,sub002,8,95,178,A,0.0,,1,1.020600029733032e-05,,190.01553290899028,191.03228362099617,191.93222180899465
90,sub002,8,96,180,,0,,,,,,,
91,sub002,8,97,182,,0,,,,,,,
92,sub002,8,98,184,,0,,,,,,,
93,sub002,8,99,186,D,0.0,,2,-0.35001531199668534,,198.0156246169936,199.03228454699274,199.93229238298954
94,sub002,8,100,188,,0,,,,,,,
95,sub002,8,101,190,,0,,,,,,,
96,sub002,8,102,192,C,0.0,,1,-0.26665571599733084,,204.0156638049957,205.0323379529873,205.93235142999038
97,sub002,8,103,194,,0,,,,,,,
98,sub002,8,104,196,,0,,,,,,,
99,sub002,8,105,198,B,0.0,,2,-0.2666547420085408,,210.01571883099678,211.03240008499415,211.932409060988
100,sub002,8,106,200,,0,,,,,,,
101,sub002,8,107,202,,0,,,,,,,
102,sub002,8,108,204,A,0.0,,1,-0.21666174799611326,,216.0157836159924,217.03245169098955,217.932469234991
103,sub002,8,109,206,,0,,,,,,,
104,sub002,8,110,208,,0,,,,,,,
105,sub002,8,111,210,D,0.0,,2,-0.2500031989911804,,222.0158416639897,223.03251451799588,223.9325173469988
106,sub002,8,112,212,,0,,,,,,,
107,sub002,8,113,214,,0,,,,,,,
108,sub002,8,114,216,B,0.0,,2,-0.016652734004310332,,228.01588928399724,229.032642620994,229.93257983498916
109,sub002,8,115,218,,0,,,,,,,
110,sub002,8,116,220,,0,,,,,,,
111,sub002,8,117,222,,0,,,,,,,
112,sub002,8,118,224,A,0.0,,1,-0.16665746200305875,,236.01596422700095,237.03263809399505,237.93265367699496
113,sub002,8,119,226,,0,,,,,,,
114,sub002,8,120,228,,0,,,,,,,
115,sub002,8,121,230,D,0.0,,2,-0.1499989040021319,,242.01602856098907,243.0326937899954,243.93271532798826
116,sub002,8,122,232,,0,,,,,,,
117,sub002,8,123,234,,0,,,,,,,
118,sub002,8,124,236,C,0.0,,1,2.120999852195382e-06,,248.01608389799367,249.03348612498667,249.9327637559909
119,sub002,8,125,238,,0,,,,,,,
120,sub002,8,126,240,D,0.0,,2,-0.28332950100593735,,252.0161171649961,253.0327910319902,253.93279697198886
121,sub002,8,127,242,,0,,,,,,,
122,sub002,8,128,244,,0,,,,,,,
123,sub002,8,129,246,A,0.0,,1,-0.28332826800760813,,258.0161736519949,259.0328484339989,259.93285349999496
124,sub002,8,130,248,,0,,,,,,,
125,sub002,8,131,250,,0,,,,,,,
126,sub002,8,132,252,C,0.0,,1,-0.19998704899626318,,264.0162288519932,265.03291632699256,265.9329114219872
127,sub002,8,133,254,,0,,,,,,,
128,sub002,8,134,256,,0,,,,,,,
129,sub002,8,135,258,B,0.0,,2,-0.2991634729987709,,270.01628100099333,271.032953884991,271.9329635920003
130,sub002,8,136,260,,0,,,,,,,
131,sub002,8,137,262,,0,,,,,,,
132,sub002,8,138,264,D,0.0,,2,-0.06665608700131997,,275.9996727149992,277.0163424559869,277.9163584630005
133,sub002,8,139,266,,0,,,,,,,
134,sub002,8,140,268,A,0.0,,1,-0.23332626299816184,,279.99971168799675,281.01638998198905,281.9163895009988
135,sub002,8,141,270,,0,,,,,,,
136,sub002,8,142,272,,0,,,,,,,
137,sub002,8,143,274,,0,,,,,,,
138,sub002,8,144,276,B,0.0,,2,-0.31665728900406975,,287.9997875699919,289.01646572699246,289.91646744198806
139,sub002,8,145,278,,0,,,,,,,
140,sub002,8,146,280,,0,,,,,,,
141,sub002,8,147,282,C,0.0,,1,0.14998061700316612,,293.9998679799901,295.0165154199931,295.91652330500074
