,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,sub002,1,6,0,,0,,,,,,,
1,sub002,1,7,2,,0,,,,,,,
2,sub002,1,8,4,,0,,,,,,,
3,sub002,1,9,6,C,0.0,,1,0.3666796309989877,,18.00960770098027,19.026276615972165,19.926283264998347
4,sub002,1,10,8,,0,,,,,,,
5,sub002,1,11,10,A,0.0,,1,0.8500232339720242,,22.00963187398156,23.026304321945645,23.926310915965587
6,sub002,1,12,12,,0,,,,,,,
7,sub002,1,13,14,D,0.0,,2,0.2833496320527047,,26.009658318944275,27.02632847998757,27.926354009949137
8,sub002,1,14,16,,0,,,,,,,
9,sub002,1,15,18,,0,,,,,,,
10,sub002,1,16,20,,0,,,,,,,
11,sub002,1,17,22,B,0.0,,2,0.3500001769862138,,34.00972967897542,35.026389899954665,35.92640505795134
12,sub002,1,18,24,,0,,,,,,,
13,sub002,1,19,26,D,0.0,,2,0.3333396179950796,,38.00976133096265,39.02642632799689,39.926442944968585
14,sub002,1,20,28,,0,,,,,,,
15,sub002,1,21,30,,0,,,,,,,
16,sub002,1,22,32,,0,,,,,,,
17,sub002,1,23,34,A,0.0,,1,0.3500080980011262,,46.009817705955356,47.026493516983464,47.92649242398329
18,sub002,1,24,36,,0,,,,,,,
19,sub002,1,25,38,,0,,,,,,,
20,sub002,1,26,40,,0,,,,,,,
21,sub002,1,27,42,C,0.0,,1,0.23334604100091383,,54.00987901695771,55.02655412897002,55.926573127973825
22,sub002,1,28,44,,0,,,,,,,
23,sub002,1,29,46,B,0.0,,2,0.2999999210005626,,58.009923702978995,59.026589463988785,59.92658897099318
24,sub002,1,30,48,,0,,,,,,,
25,sub002,1,31,50,,0,,,,,,,
26,sub002,1,32,52,A,0.0,,1,0.10000512201804668,,64.00996492698323,65.02664014196489,65.92664007196436
27,sub002,1,33,54,,0,,,,,,,
28,sub002,1,34,56,,0,,,,,,,
29,sub002,1,35,58,,0,,,,,,,
30,sub002,1,36,60,D,0.0,,2,0.15000792796490714,,72.01003684999887,73.02670120599214,73.92671489098575
31,sub002,1,37,62,,0,,,,,,,
32,sub002,1,38,64,B,0.0,,2,0.6500166499754414,,76.01006346498616,77.02673422696535,77.92674422299024
33,sub002,1,39,66,,0,,,,,,,
34,sub002,1,40,68,,0,,,,,,,
35,sub002,1,41,70,C,0.0,,1,0.21667471202090383,,82.0101173799485,83.02678414294496,83.92679667595075
36,sub002,1,42,72,,0,,,,,,,
37,sub002,1,43,74,,0,,,,,,,
38,sub002,1,44,76,,0,,,,,,,
39,sub002,1,45,78,A,0.0,,1,0.6333478979649954,,90.01018052798463,91.02684651099844,91.92685684998287
40,sub002,1,46,80,,0,,,,,,,
41,sub002,1,47,82,D,0.0,,2,0.30001869797706604,,94.01020951097598,95.02688688796479,95.92689219699241
42,sub002,1,48,84,,0,,,,,,,
43,sub002,1,49,86,,0,,,,,,,
44,sub002,1,50,88,C,0.0,,1,0.4666945529752411,,100.01026247796835,101.02693722298136,101.92694916197797
45,sub002,1,51,90,,0,,,,,,,
46,sub002,1,52,92,B,0.0,,2,-0.016667302988935262,,104.0102996659698,105.02770250895992,105.92697239900008
47,sub002,1,53,94,,0,,,,,,,
48,sub002,1,54,96,,0,,,,,,,
49,sub002,1,55,98,,0,,,,,,,
50,sub002,1,56,100,A,0.0,,1,0.3166706750052981,,112.01036842598114,113.02703038096661,113.92704294994473
51,sub002,1,57,102,,0,,,,,,,
52,sub002,1,58,104,,0,,,,,,,
53,sub002,1,59,106,,0,,,,,,,
54,sub002,1,60,108,D,0.0,,2,0.4500075429677963,,120.0104323150008,121.02709533198504,121.927107838972
55,sub002,1,61,110,,0,,,,,,,
56,sub002,1,62,112,,0,,,,,,,
57,sub002,1,63,114,,0,,,,,,,
58,sub002,1,64,116,C,0.0,,1,0.25001116102794185,,128.0104896769626,129.02715819497826,129.92716608196497
59,sub002,1,65,118,,0,,,,,,,
60,sub002,1,66,120,,0,,,,,,,
61,sub002,1,67,122,,0,,,,,,,
62,sub002,1,68,124,D,0.0,,2,0.2500132699497044,,136.0105602919939,137.0272312189918,137.92723251495045
63,sub002,1,69,126,,0,,,,,,,
