,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,sub001,3,0,0,,0,,,,,,,
1,sub001,3,1,2,,0,,,,,,,
2,sub001,3,2,4,,0,,,,,,,
3,sub001,3,3,6,C,0.0,,1,0.7000015461817384,,6.003827345557511,7.020492690615356,7.920493599958718
4,sub001,3,4,8,,0,,,,,,,
5,sub001,3,5,10,B,0.0,,2,0.3500082530081272,,10.003829449415207,11.020505756139755,11.920517986640334
6,sub001,3,6,12,,0,,,,,,,
7,sub001,3,7,14,,0,,,,,,,
8,sub001,3,8,16,,0,,,,,,,
9,sub001,3,9,18,A,0.0,,1,0.28333254251629114,,18.00388349685818,19.020561785437167,19.920546129345894
10,sub001,3,10,20,,0,,,,,,,
11,sub001,3,11,22,B,0.0,,2,0.43335088063031435,,22.00389560032636,23.02056227810681,23.92057409696281
12,sub001,3,12,24,,0,,,,,,,
13,sub001,3,13,26,D,0.0,,2,0.28333362005650997,,26.003929597325623,27.020593945868313,27.920593166723847
14,sub001,3,14,28,,0,,,,,,,
15,sub001,3,15,30,C,0.0,,1,0.36674886010587215,,30.003942899405956,31.020607854239643,31.92062118370086
16,sub001,3,16,32,,0,,,,,,,
17,sub001,3,17,34,B,0.0,,2,0.30000186059623957,,34.00396615359932,35.020632173866034,35.92063995450735
18,sub001,3,18,36,,0,,,,,,,
19,sub001,3,19,38,,0,,,,,,,
20,sub001,3,20,40,C,0.0,,1,0.3833371112123132,,40.00400316063315,41.020669436082244,41.920677069574594
21,sub001,3,21,42,,0,,,,,,,
22,sub001,3,22,44,D,0.0,,2,0.2666651839390397,,44.004030883312225,45.02070001233369,45.92070016823709
23,sub001,3,23,46,,0,,,,,,,
24,sub001,3,24,48,A,0.0,,1,0.7166762305423617,,48.00404892768711,49.02071394491941,49.92071402166039
25,sub001,3,25,50,,0,,,,,,,
26,sub001,3,26,52,,0,,,,,,,
27,sub001,3,27,54,D,0.0,,2,0.5666709281504154,,54.00408444553614,55.02074127085507,55.92075505759567
28,sub001,3,28,56,,0,,,,,,,
29,sub001,3,29,58,,0,,,,,,,
30,sub001,3,30,60,A,0.0,,1,0.06669215951114893,,60.004115904681385,61.020773788914084,61.9207968255505
31,sub001,3,31,62,,0,,,,,,,
32,sub001,3,32,64,B,0.0,,2,0.28334665670990944,,64.00413857400417,65.02080989163369,65.92081601452082
33,sub001,3,33,66,,0,,,,,,,
