,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,sub002,1,6,0,,0,,,,,,,
1,sub002,1,7,2,,0,,,,,,,
2,sub002,1,8,4,,0,,,,,,,
3,sub002,1,9,6,D,0.0,,2,0.483349772010115,,18.00459726600093,19.021279116001097,19.92127592500765
4,sub002,1,10,8,,0,,,,,,,
5,sub002,1,11,10,,0,,,,,,,
6,sub002,1,12,12,C,0.0,,1,0.30000209900026675,,24.004641523002647,25.021304724999936,25.921308300006785
7,sub002,1,13,14,,0,,,,,,,
8,sub002,1,14,16,A,0.0,,1,0.4666746410075575,,28.004661582002882,29.021335569006624,29.92134224199981
9,sub002,1,15,18,,0,,,,,,,
10,sub002,1,16,20,,0,,,,,,,
11,sub002,1,17,22,D,0.0,,2,0.31667159499193076,,34.004699805009295,35.021362797997426,35.921373816003324
12,sub002,1,18,24,,0,,,,,,,
13,sub002,1,19,26,A,0.0,,1,0.28333598699828144,,38.00472743200953,39.02139363500464,39.921402393010794
14,sub002,1,20,28,,0,,,,,,,
15,sub002,1,21,30,,0,,,,,,,
16,sub002,1,22,32,B,0.0,,2,0.33333348999440204,,44.00476311800594,45.02143297099974,45.921431157010375
17,sub002,1,23,34,,0,,,,,,,
18,sub002,1,24,36,,0,,,,,,,
19,sub002,1,25,38,C,0.0,,1,0.3500088879955001,,50.004800711001735,51.02146964900021,51.92147862100683
20,sub002,1,26,40,,0,,,,,,,
21,sub002,1,27,42,,0,,,,,,,
22,sub002,1,28,44,A,0.0,,1,0.21666689400444739,,56.004842538997764,57.021501669005374,57.92150953599776
23,sub002,1,29,46,,0,,,,,,,
24,sub002,1,30,48,D,0.0,,2,0.2500110489927465,,60.00486264600477,61.021538934001,61.92154617799679
25,sub002,1,31,50,,0,,,,,,,
26,sub002,1,32,52,,0,,,,,,,
27,sub002,1,33,54,B,0.0,,2,0.03342441900167614,,66.0049037340068,67.02157572499709,67.92157955300354
28,sub002,1,34,56,,0,,,,,,,
29,sub002,1,35,58,C,0.0,,1,0.26666499699058477,,70.00493024200841,71.02159445799771,71.92161033699813
30,sub002,1,36,60,,0,,,,,,,
31,sub002,1,37,62,,0,,,,,,,
32,sub002,1,38,64,B,0.0,,2,0.2333384270023089,,76.00496884199674,77.02164155899663,77.92164893299923
33,sub002,1,39,66,,0,,,,,,,
34,sub002,1,40,68,D,0.0,,2,0.2666785479959799,,80.0049927640066,81.02168381299998,81.92167800600873
35,sub002,1,41,70,,0,,,,,,,
36,sub002,1,42,72,B,0.0,,2,0.2666674650099594,,84.00502751099702,85.02169512699766,85.92170201599947
37,sub002,1,43,74,,0,,,,,,,
38,sub002,1,44,76,D,0.0,,2,0.3500045489927288,,88.00505516500561,89.0217213480064,89.92172722899704
39,sub002,1,45,78,,0,,,,,,,
40,sub002,1,46,80,,0,,,,,,,
41,sub002,1,47,82,C,0.0,,1,0.3000006259971997,,94.0050967670104,95.02177079800458,95.92176949400164
42,sub002,1,48,84,,0,,,,,,,
43,sub002,1,49,86,A,0.0,,1,0.2952735449944157,,98.00986108100915,99.0217916600086,99.921808056999
44,sub002,1,50,88,,0,,,,,,,
45,sub002,1,51,90,,0,,,,,,,
46,sub002,1,52,92,D,0.0,,2,0.3000147669954458,,104.0051637130091,105.02183742501074,105.92184562400507
47,sub002,1,53,94,,0,,,,,,,
48,sub002,1,54,96,,0,,,,,,,
49,sub002,1,55,98,,0,,,,,,,
50,sub002,1,56,100,A,0.0,,1,0.23334015300497413,,112.00522674599779,113.02190083300229,113.92190148500958
51,sub002,1,57,102,,0,,,,,,,
52,sub002,1,58,104,C,0.0,,1,0.2500152450083988,,116.00524901899917,117.0219251439994,117.92193476000102
53,sub002,1,59,106,,0,,,,,,,
54,sub002,1,60,108,,0,,,,,,,
55,sub002,1,61,110,,0,,,,,,,
56,sub002,1,62,112,A,0.0,,1,0.1666728099953616,,124.00530792500649,125.02198147700983,125.92198812399874
57,sub002,1,63,114,,0,,,,,,,
58,sub002,1,64,116,,0,,,,,,,
59,sub002,1,65,118,B,0.0,,2,0.28334324300521985,,130.005350403997,131.0220262310031,131.92203834300744
60,sub002,1,66,120,,0,,,,,,,
61,sub002,1,67,122,,0,,,,,,,
62,sub002,1,68,124,,0,,,,,,,
