TR,morphParam,states,points,B_prob,TR_milgram,timestamp
9,13,feedback,0,0.5100087607032389,1.0,1620998303.0274935
10,13,feedback,0,0.11485798556914043,2.0,1620998305.7216108
11,13,feedback,0,0.7821665402833834,3.0,1620998307.4776247
12,13,feedback,0,0.7953002037174622,4.0,1620998309.1675396
13,13,feedback,0,0.09598305474524578,5.0,1620998311.8278599
23,13,feedback,0,0.7771437029909576,6.0,1620998313.5507474
24,13,feedback,0,0.855586147795893,7.0,1620998315.2240934
25,13,feedback,0,0.018422057350276636,8.0,1620998318.0021164
26,13,feedback,0,0.7810808503212785,9.0,1620998319.7109897
27,13,feedback,0,0.7816275245816313,10.0,1620998321.360104
37,13,feedback,0,0.515945240962958,11.0,1620998322.9616258
38,13,feedback,0,0.27733357578256035,12.0,1620998325.6556904
39,9,feedback,0,0.9761116653240554,13.0,1620998327.4503126
40,9,feedback,0,0.5176501993040223,14.0,1620998329.166486
41,9,feedback,0,0.46223306415675086,15.0,1620998331.9205298
51,13,feedback,0,0.5680799716058822,16.0,1620998333.5738807
52,13,feedback,0,0.7965290622450787,17.0,1620998335.168654
53,9,feedback,0,0.9903353902080293,18.0,1620998337.7864208
54,9,feedback,0,0.7800176225587229,19.0,1620998339.3539963
55,9,feedback,0,0.7828494151823204,20.0,1620998340.9812663
65,9,feedback,0,0.9714006317455341,21.0,1620998343.5862284
66,9,feedback,0,0.40221296019748337,22.0,1620998345.2142377
67,9,feedback,0,0.6100683131179687,23.0,1620998347.8376687
68,9,feedback,0,0.776863715692115,24.0,1620998349.484861
69,9,feedback,0,0.8756170597561012,25.0,1620998351.1088037
79,13,feedback,0,0.13522406703605547,26.0,1620998353.6832929
80,13,feedback,0,0.15085215710751787,27.0,1620998355.2992108
81,13,feedback,0,0.26431584877169384,28.0,1620998356.9560235
82,13,feedback,0,0.028235491310195912,29.0,1620998359.6661868
83,13,feedback,0,0.07378638766234721,30.0,1620998361.303297
93,13,feedback,0,0.14125962801226358,31.0,1620998362.8871772
94,13,feedback,0,0.5795167988081793,32.0,1620998365.4607375
95,13,feedback,0,0.49697738841722683,33.0,1620998367.08526
96,13,feedback,0,0.5052770697777418,34.0,1620998369.713282
97,13,feedback,0,0.22374609751669314,35.0,1620998371.4274864
107,13,feedback,0,0.2459951362626493,36.0,1620998373.165271
108,13,feedback,0,0.5449537574738438,37.0,1620998375.7865424
109,13,feedback,0,0.643329123824919,38.0,1620998377.4708748
110,13,feedback,0,0.29005369996147673,39.0,1620998379.157616
111,13,feedback,0,0.6166339665050455,40.0,1620998381.7919614
121,13,feedback,0,0.5527655656644677,41.0,1620998383.4216807
122,9,feedback,0,0.9342537304582403,42.0,1620998385.0761712
123,9,feedback,0,0.7662187674589405,43.0,1620998387.766675
124,9,feedback,0,0.7893987630959909,44.0,1620998389.3795025
125,9,feedback,0,0.6850265921460246,45.0,1620998391.0334752
135,13,feedback,0,0.6824006108799359,46.0,1620998393.684622
136,13,feedback,0,0.4659381244719181,47.0,1620998395.2749891
137,13,feedback,0,0.06693176324439438,48.0,1620998397.905553
138,13,feedback,0,0.5231720019251737,49.0,1620998399.5156167
139,13,feedback,0,0.21503545297304041,50.0,1620998401.1843846
149,13,feedback,0,0.3736998094883619,51.0,1620998403.7778893
150,13,feedback,0,0.20779265595543983,52.0,1620998405.3991876
151,13,feedback,0,0.268511086816535,53.0,1620998407.0520952
152,13,feedback,0,0.004575633923367487,54.0,1620998409.7152333
153,13,feedback,0,0.03568179747098767,55.0,1620998411.3017175
163,13,feedback,0,0.538858749122834,56.0,1620998412.967047
164,13,feedback,0,0.3695176171481071,57.0,1620998415.6071122
165,13,feedback,0,0.6455100988607905,58.0,1620998417.2204602
166,13,feedback,0,0.41271767987890556,59.0,1620998419.8219142
167,13,feedback,0,0.2187939858540902,60.0,1620998421.438792
