TR,morphParam,states,points,B_prob,TR_milgram,timestamp
9,13,feedback,0,0.5100087607032389,1.0,1620996270.4513438
10,9,feedback,0,0.9419068017540446,2.0,1620996272.087175
11,5,feedback,0,0.8436185911521075,3.0,1620996273.7268615
12,5,feedback,0,0.45440853772554307,4.0,1620996276.3396285
13,1,feedback,0,0.9987993356805298,5.0,1620996277.9637997
23,9,feedback,0,0.9480029242895582,6.0,1620996279.5803065
24,5,feedback,0,0.8044343196739813,7.0,1620996282.2376757
25,5,feedback,0,0.5469871247947694,8.0,1620996283.9163802
26,5,feedback,0,0.5728183919402752,9.0,1620996285.5287726
27,5,feedback,0,0.7444425330718328,10.0,1620996288.23124
37,13,feedback,0,0.6044137153496707,11.0,1620996289.9809558
38,9,feedback,0,0.9961155699330623,12.0,1620996291.6643639
39,9,feedback,0,0.47195704269637817,13.0,1620996294.3005075
40,5,feedback,0,0.9975284460433415,14.0,1620996295.9350715
41,5,feedback,0,0.5234864957523404,15.0,1620996297.5870864
51,13,feedback,0,0.48648021677850617,16.0,1620996300.2354808
52,13,feedback,0,0.6293198176723964,17.0,1620996301.8119576
53,13,feedback,0,0.6321276051358505,18.0,1620996304.4776516
54,13,feedback,0,0.7141321918884129,19.0,1620996306.1710868
55,13,feedback,0,0.09033185235500343,20.0,1620996307.781646
65,13,feedback,0,0.5287859633460649,21.0,1620996310.4447174
66,13,feedback,0,0.4126530956006184,22.0,1620996312.0173328
67,13,feedback,0,0.4286508266677162,23.0,1620996313.5639496
68,13,feedback,0,0.7333766978455636,24.0,1620996316.2117972
69,13,feedback,0,0.5017122660511434,25.0,1620996317.879882
79,9,feedback,0,0.9645991527992027,26.0,1620996320.6066258
80,9,feedback,0,0.5104186629199509,27.0,1620996322.343042
81,9,feedback,0,0.6610362249038899,28.0,1620996324.024992
82,9,feedback,0,0.49477496473507077,29.0,1620996325.671641
83,9,feedback,0,0.6948674450192229,30.0,1620996328.361687
93,9,feedback,0,0.8247285433111029,31.0,1620996330.0104809
94,9,feedback,0,0.5993229610208984,32.0,1620996331.6107528
95,9,feedback,0,0.4435446711088569,33.0,1620996334.3075635
96,9,feedback,0,0.6384230898567331,34.0,1620996336.0268097
97,9,feedback,0,0.7924863550897774,35.0,1620996337.5955195
107,13,feedback,0,0.5688011088952944,36.0,1620996340.230557
108,13,feedback,0,0.5512145153751948,37.0,1620996341.7898066
109,9,feedback,0,0.9250218480688139,38.0,1620996344.4207811
110,5,feedback,0,0.9863539106948703,39.0,1620996346.0258174
111,5,feedback,0,0.5798592564552842,40.0,1620996347.61491
121,13,feedback,0,0.6118383370494743,41.0,1620996350.2503395
122,13,feedback,0,0.4205577253716534,42.0,1620996351.8832521
123,9,feedback,0,0.8672153526253327,43.0,1620996354.5331693
124,9,feedback,0,0.521010047281946,44.0,1620996356.1818745
125,9,feedback,0,0.5036370794450845,45.0,1620996357.7793577
135,13,feedback,0,0.7511439738909869,46.0,1620996360.3782535
136,13,feedback,0,0.36914644261339463,47.0,1620996361.9853258
137,13,feedback,0,0.715399931395474,48.0,1620996363.6113818
138,13,feedback,0,0.2670261963379883,49.0,1620996366.182031
139,13,feedback,0,0.29191271428832316,50.0,1620996367.8227956
149,13,feedback,0,0.6589689311290235,51.0,1620996370.4407132
150,13,feedback,0,0.7752313176558938,52.0,1620996372.1254358
151,9,feedback,0,0.9641879015453949,53.0,1620996373.7139826
152,9,feedback,0,0.7518034877519872,54.0,1620996376.3524756
153,9,feedback,0,0.4936830196103579,55.0,1620996378.0729744
163,9,feedback,0,0.8221274237588827,56.0,1620996379.7815502
164,9,feedback,0,0.34992219638762817,57.0,1620996382.3901396
165,5,feedback,0,0.9079043197274128,58.0,1620996384.0753694
166,5,feedback,0,0.34269940153834194,59.0,1620996385.6928089
167,5,feedback,0,0.6021047483593388,60.0,1620996388.3454611
