TR,morphParam,states,points,B_prob,TR_milgram,timestamp
9,9,feedback,0,0.9373787449820608,8.0,1621000419.0834005
10,9,feedback,0,0.8085781766432091,9.0,1621000420.7385654
11,5,feedback,0,0.9925827533069425,10.0,1621000422.3589506
12,5,feedback,0,0.671976409308509,11.0,1621000425.0386283
13,5,feedback,0,0.2049608477572814,12.0,1621000426.6418772
23,13,feedback,0,0.04480130705211749,22.0,1621000446.7152498
24,13,feedback,0,0.03917984013874098,23.0,1621000448.292647
25,13,feedback,0,0.13999347125965883,24.0,1621000450.8979304
26,13,feedback,0,0.030399354124215176,25.0,1621000452.4914393
27,13,feedback,0,0.04705630929765855,26.0,1621000455.0843582
37,13,feedback,0,0.09026197294585077,36.0,1621000475.0282733
38,13,feedback,0,0.047123347468891005,37.0,1621000476.5961552
39,13,feedback,0,0.3598488492064438,38.0,1621000478.1894014
40,13,feedback,0,0.09964943746028676,39.0,1621000480.8403602
41,13,feedback,0,0.1960692056766191,40.0,1621000482.6107147
51,9,feedback,0,0.9514048470201688,50.0,1621000502.7745223
52,9,feedback,0,0.06032321416354881,51.0,1621000504.438186
53,9,feedback,0,0.22828220688134807,52.0,1621000507.0748513
54,9,feedback,0,0.6512407276891512,53.0,1621000508.6400688
55,9,feedback,0,0.007143859174536845,54.0,1621000510.2789683
65,13,feedback,0,0.2991181251861992,64.0,1621000530.2888103
66,13,feedback,0,0.15518467752338955,65.0,1621000532.8579884
67,13,feedback,0,0.8253503619656254,66.0,1621000534.538781
68,13,feedback,0,0.09541831833153745,67.0,1621000537.189781
69,13,feedback,0,0.11294991598356224,68.0,1621000538.8774354
79,13,feedback,0,0.3528240267324641,78.0,1621000559.0207314
80,13,feedback,0,0.41217979704757035,79.0,1621000560.642051
81,9,feedback,0,0.9257716001180414,80.0,1621000562.3285706
82,9,feedback,0,0.7822580798789179,81.0,1621000564.9138796
83,9,feedback,0,0.7457955934868721,82.0,1621000566.5627668
93,13,feedback,0,0.03835414652969592,92.0,1621000586.839516
94,13,feedback,0,0.6732081180946126,93.0,1621000588.461197
95,13,feedback,0,0.5828410479983004,94.0,1621000591.0984602
96,13,feedback,0,0.05951659996038585,95.0,1621000592.8135798
97,13,feedback,0,0.5718125811744516,96.0,1621000594.5221844
107,13,feedback,0,0.0665678568450627,106.0,1621000614.782774
108,13,feedback,0,0.21085502595692232,107.0,1621000616.4375224
109,13,feedback,0,0.3732545679294317,108.0,1621000619.0007205
110,13,feedback,0,0.7499177635156951,109.0,1621000620.638295
111,13,feedback,0,0.2225387812100809,110.0,1621000622.2131338
121,9,feedback,0,0.9649065797658063,120.0,1621000642.4012413
122,9,feedback,0,0.08018410016601635,121.0,1621000644.9732049
123,9,feedback,0,0.44653183526527684,122.0,1621000646.6148176
124,9,feedback,0,0.04525422141954667,123.0,1621000648.2561288
125,9,feedback,0,0.4007939232713668,124.0,1621000650.9614794
135,13,feedback,0,0.8047440128658035,134.0,1621000671.1714833
136,13,feedback,0,0.028949512319827585,135.0,1621000672.803555
137,9,feedback,0,0.9270347033090454,136.0,1621000674.4441464
138,5,feedback,0,0.9508782126688565,137.0,1621000677.0604742
139,5,feedback,0,0.5032727992396223,138.0,1621000678.7423725
149,13,feedback,0,0.47553701199544773,148.0,1621000698.4496655
150,13,feedback,0,0.7006076438431471,149.0,1621000701.1563466
151,13,feedback,0,0.07288106080307487,150.0,1621000702.852514
152,13,feedback,0,0.05430971896395842,151.0,1621000704.4618115
153,13,feedback,0,0.3185782959586642,152.0,1621000707.0825212
163,9,feedback,0,0.9664311110566763,162.0,1621000726.656899
164,9,feedback,0,0.6780315059093125,163.0,1621000728.312102
165,9,feedback,0,0.6292997345056014,164.0,1621000730.9566243
166,9,feedback,0,0.8354891627481145,165.0,1621000732.638771
167,9,feedback,0,0.7553422144007755,166.0,1621000734.2399702
