TR,morphParam,states,points,B_prob,TR_milgram,timestamp
9,13,feedback,0,0.5100087607032389,1.0,1620999145.621098
10,13,feedback,0,0.010217152420864037,2.0,1620999147.2829797
11,13,feedback,0,0.20798365911695604,3.0,1620999148.8789506
12,13,feedback,0,0.3115059895629544,4.0,1620999151.481642
13,9,feedback,0,0.9457432334549274,5.0,1620999153.183249
23,9,feedback,0,0.9072840442839067,6.0,1620999154.8093266
24,9,feedback,0,0.24094387133107126,7.0,1620999157.3951356
25,9,feedback,0,0.7952981793248355,8.0,1620999159.0539794
26,9,feedback,0,0.6917652847413288,9.0,1620999160.718596
27,9,feedback,0,0.6731547242714462,10.0,1620999163.4002078
37,13,feedback,0,0.38721213523051773,11.0,1620999164.9896204
38,13,feedback,0,0.007622463624577836,12.0,1620999167.6106758
39,13,feedback,0,0.2438189469868141,13.0,1620999169.191212
40,13,feedback,0,0.2042926026300032,14.0,1620999170.8543603
41,13,feedback,0,0.6665687666672238,15.0,1620999173.4735167
51,13,feedback,0,0.09286081801655939,16.0,1620999175.1915584
52,13,feedback,0,0.44561001506085285,17.0,1620999176.7587218
53,13,feedback,0,0.5410691512110919,18.0,1620999179.4017518
54,13,feedback,0,0.3215716177797435,19.0,1620999181.0182018
55,13,feedback,0,0.4971305250267182,20.0,1620999183.6347945
65,13,feedback,0,0.8683906424903085,21.0,1620999185.2627118
66,13,feedback,0,0.43443988661563354,22.0,1620999186.9185991
67,13,feedback,0,0.897948092965412,23.0,1620999189.5165966
68,13,feedback,0,0.22151549257199002,24.0,1620999191.1598465
69,13,feedback,0,0.6487429461376781,25.0,1620999192.7812054
79,13,feedback,0,0.35118336187377075,26.0,1620999195.410345
80,13,feedback,0,0.3899592837219334,27.0,1620999197.0799983
81,13,feedback,0,0.39309722472111114,28.0,1620999198.6939065
82,13,feedback,0,0.5048229787711592,29.0,1620999201.3193388
83,13,feedback,0,0.7886836867144263,30.0,1620999202.9180584
93,13,feedback,0,0.4864296748433963,31.0,1620999205.6017272
94,9,feedback,0,0.9518533621138761,32.0,1620999207.2323616
95,9,feedback,0,0.09096138521978306,33.0,1620999208.9448054
96,9,feedback,0,0.2714516710681274,34.0,1620999211.5906782
97,9,feedback,0,0.37651949515271627,35.0,1620999213.2786052
107,13,feedback,0,0.019927357072554115,36.0,1620999214.8643901
108,13,feedback,0,0.2018458148032568,37.0,1620999217.5262487
109,9,feedback,0,0.9452736209090443,38.0,1620999219.3020625
110,5,feedback,0,0.9243806863676063,39.0,1620999220.8769426
111,5,feedback,0,0.7211211328189069,40.0,1620999223.4847834
121,13,feedback,0,0.5220577298029688,41.0,1620999225.1510832
122,13,feedback,0,0.5126482949079734,42.0,1620999226.827513
123,13,feedback,0,0.560031197431496,43.0,1620999229.463974
124,13,feedback,0,0.7233162035038628,44.0,1620999231.0786786
125,9,feedback,0,0.9932334095434371,45.0,1620999232.7663403
135,13,feedback,0,0.5252896908531902,46.0,1620999235.4562125
136,13,feedback,0,0.7262226766241981,47.0,1620999237.093911
137,13,feedback,0,0.688630578528771,48.0,1620999238.7308316
138,13,feedback,0,0.5974463247386408,49.0,1620999241.4534254
139,13,feedback,0,0.5740227213472622,50.0,1620999243.0636692
149,9,feedback,0,0.9467663723052107,51.0,1620999244.701188
150,5,feedback,0,0.9743082722022618,52.0,1620999247.3601646
151,5,feedback,0,0.2529108326066232,53.0,1620999249.033401
152,5,feedback,0,0.5050201609191503,54.0,1620999250.8241954
153,1,feedback,0,0.9600164726538645,55.0,1620999253.4533987
163,9,feedback,0,0.9254089045913046,56.0,1620999255.0455287
164,9,feedback,0,0.895996903938628,57.0,1620999256.771418
165,9,feedback,0,0.5124829475573568,58.0,1620999259.394129
166,9,feedback,0,0.8914387409258027,59.0,1620999260.9688616
167,9,feedback,0,0.15369394238282005,60.0,1620999263.5830095
