TR,morphParam,states,points,B_prob,TR_milgram,timestamp
9,13,feedback,0,0.5100087607032389,1.0,1620998717.7593992
10,13,feedback,0,0.5460918458216393,2.0,1620998720.382237
11,13,feedback,0,0.3628423873231208,3.0,1620998722.079876
12,13,feedback,0,0.42878244723771497,4.0,1620998723.6516182
13,13,feedback,0,0.855659237844054,5.0,1620998726.3815327
23,13,feedback,0,0.45933565623574724,6.0,1620998728.033994
24,13,feedback,0,0.6150450856785075,7.0,1620998729.6658716
25,9,feedback,0,0.9805278180175314,8.0,1620998732.3646228
26,9,feedback,0,0.483959914266628,9.0,1620998734.0638814
27,9,feedback,0,0.7644126508064972,10.0,1620998735.6774805
37,13,feedback,0,0.3920752209220547,11.0,1620998738.390516
38,13,feedback,0,0.5063718374987265,12.0,1620998740.046824
39,13,feedback,0,0.13085201439185268,13.0,1620998741.7021594
40,9,feedback,0,0.9218329941956869,14.0,1620998744.346427
41,9,feedback,0,0.001989401820642113,15.0,1620998746.0478156
51,13,feedback,0,0.7538093755053223,16.0,1620998747.755126
52,13,feedback,0,0.02389663607492941,17.0,1620998750.4482257
53,9,feedback,0,0.932397193187124,18.0,1620998752.1206589
54,9,feedback,0,0.5171177332560035,19.0,1620998753.764108
55,9,feedback,0,0.41570945706928447,20.0,1620998756.3212664
65,13,feedback,0,0.3379966202440413,21.0,1620998757.9849482
66,13,feedback,0,0.5415258113663837,22.0,1620998759.658332
67,13,feedback,0,0.28381044783548737,23.0,1620998762.2461476
68,13,feedback,0,0.5719009569446961,24.0,1620998763.9041822
69,13,feedback,0,0.48777386856560034,25.0,1620998765.5776222
79,13,feedback,0,0.3849315533702062,26.0,1620998768.1638985
80,13,feedback,0,0.08763098344107183,27.0,1620998769.8234177
81,13,feedback,0,0.7040926823418269,28.0,1620998772.367505
82,9,feedback,0,0.9604692974408959,29.0,1620998774.0546205
83,9,feedback,0,0.8016088430780117,30.0,1620998775.7021234
93,9,feedback,0,0.9282643173503318,31.0,1620998778.352345
94,9,feedback,0,0.3017850431742528,32.0,1620998779.951683
95,9,feedback,0,0.5514931076863188,33.0,1620998781.5633917
96,9,feedback,0,0.5288208480091244,34.0,1620998784.1989305
97,5,feedback,0,0.9220328028239927,35.0,1620998785.8155055
107,13,feedback,0,0.42102418266218017,36.0,1620998788.377843
108,13,feedback,0,0.5510856034147826,37.0,1620998790.0386565
109,13,feedback,0,0.23319011178634938,38.0,1620998791.759182
110,13,feedback,0,0.4668457046358324,39.0,1620998794.4289966
111,13,feedback,0,0.46223282350515776,40.0,1620998796.1517704
121,13,feedback,0,0.16743556433340648,41.0,1620998797.8680074
122,13,feedback,0,0.08894978095104954,42.0,1620998799.5476396
123,13,feedback,0,0.6143951398621821,43.0,1620998802.2512562
124,13,feedback,0,0.4664188607325595,44.0,1620998803.857427
125,9,feedback,0,0.9309163285891275,45.0,1620998806.4870982
135,13,feedback,0,0.8058758967004689,46.0,1620998808.1253698
136,13,feedback,0,0.7777624741707143,47.0,1620998809.765619
137,13,feedback,0,0.12432261406364828,48.0,1620998812.412681
138,13,feedback,0,0.8660353832834895,49.0,1620998813.9852786
139,13,feedback,0,0.5328817748209983,50.0,1620998815.6204324
149,13,feedback,0,0.6665930062311446,51.0,1620998818.259545
150,13,feedback,0,0.3151827574183482,52.0,1620998819.8167646
151,13,feedback,0,0.2951592348827099,53.0,1620998822.456646
152,13,feedback,0,0.06967438546049509,54.0,1620998824.1778133
153,13,feedback,0,0.517838088160966,55.0,1620998825.7678926
163,13,feedback,0,0.3973869742813183,56.0,1620998828.4163337
164,13,feedback,0,0.23767805589659846,57.0,1620998830.1123734
165,13,feedback,0,0.1332604163106484,58.0,1620998831.795459
166,13,feedback,0,0.469282191784251,59.0,1620998834.4059591
167,13,feedback,0,0.6396104939849221,60.0,1620998836.0474792
