TR,morphParam,states,points,B_prob,TR_milgram,timestamp
9,13,feedback,0,0.5100087607032389,1.0,1620996666.0767639
10,13,feedback,0,0.16590003526774558,2.0,1620996667.7337453
11,13,feedback,0,0.04969792003480476,3.0,1620996670.4578938
12,9,feedback,0,0.90132368400868,4.0,1620996672.1145773
13,5,feedback,0,0.9882860764027475,5.0,1620996673.8254707
23,13,feedback,0,0.4416686501487961,6.0,1620996676.4004166
24,13,feedback,0,0.15840700624766124,7.0,1620996678.0272317
25,13,feedback,0,0.20966201002304513,8.0,1620996679.6680665
26,9,feedback,0,0.9545645896484071,9.0,1620996682.3654928
27,5,feedback,0,0.988153562236931,10.0,1620996684.0146146
37,9,feedback,0,0.9842016999821906,11.0,1620996685.6163638
38,5,feedback,0,0.9436857614457159,12.0,1620996688.225764
39,1,feedback,0,0.9172131720234205,13.0,1620996689.856997
40,1,feedback,0,0.8915955762712605,14.0,1620996692.5206597
41,1,feedback,0,0.9476628610963467,15.0,1620996694.1274278
51,13,feedback,0,0.5950165730165184,16.0,1620996695.7436182
52,13,feedback,0,0.010634545821428556,17.0,1620996698.32999
53,13,feedback,0,0.28817282720227005,18.0,1620996699.9670067
54,13,feedback,0,0.06787795534307382,19.0,1620996702.6595786
55,13,feedback,0,0.6485198217189652,20.0,1620996704.281596
65,13,feedback,0,0.7280841283054603,21.0,1620996705.9262094
66,13,feedback,0,0.7117274635179275,22.0,1620996708.5459924
67,13,feedback,0,0.5716636510267674,23.0,1620996710.1770952
68,9,feedback,0,0.9129195716460593,24.0,1620996711.8314476
69,9,feedback,0,0.8282705297282875,25.0,1620996714.4890633
79,9,feedback,0,0.9261679079071705,26.0,1620996716.1892285
80,5,feedback,0,0.9810034350256267,27.0,1620996717.7772431
81,5,feedback,0,0.6295496341994193,28.0,1620996720.4020717
82,5,feedback,0,0.7708885265610498,29.0,1620996722.0677297
83,5,feedback,0,0.7436412508301804,30.0,1620996723.737401
93,13,feedback,0,0.5588312828712654,31.0,1620996726.3251436
94,13,feedback,0,0.17407104787400846,32.0,1620996727.9281943
95,13,feedback,0,0.5758479906104644,33.0,1620996730.5108528
96,13,feedback,0,0.12702401298887647,34.0,1620996732.1791215
97,13,feedback,0,0.2619302941354008,35.0,1620996733.8045962
107,13,feedback,0,0.004616161639050914,36.0,1620996736.4964495
108,13,feedback,0,0.8176503505087267,37.0,1620996738.116942
109,13,feedback,0,0.6053395496564197,38.0,1620996739.7439327
110,13,feedback,0,0.35512830385102034,39.0,1620996742.348459
111,13,feedback,0,0.13962247185382026,40.0,1620996743.9598835
121,13,feedback,0,0.3250085312008142,41.0,1620996746.5938292
122,13,feedback,0,0.3447273071196456,42.0,1620996748.308295
123,13,feedback,0,0.4945343748650365,43.0,1620996750.0124216
124,13,feedback,0,0.6675336714577187,44.0,1620996751.690755
125,9,feedback,0,0.9101827090538521,45.0,1620996754.375808
135,13,feedback,0,0.3122851771039493,46.0,1620996755.959483
136,13,feedback,0,0.27015969351099106,47.0,1620996758.5871496
137,13,feedback,0,0.300622354639029,48.0,1620996760.269911
138,13,feedback,0,0.06378499370494163,49.0,1620996761.871482
139,9,feedback,0,0.9321977378911361,50.0,1620996764.5381453
149,13,feedback,0,0.5426241475254799,51.0,1620996766.2339258
150,9,feedback,0,0.9036218822501517,52.0,1620996767.893412
151,9,feedback,0,0.8239384557246574,53.0,1620996770.4801915
152,5,feedback,0,0.9588687394435926,54.0,1620996772.1104095
153,1,feedback,0,0.9123923256832227,55.0,1620996773.7232509
163,9,feedback,0,0.945077153831965,56.0,1620996776.4196732
164,5,feedback,0,0.8871892570279658,57.0,1620996778.0760179
165,1,feedback,0,0.8543385610803131,58.0,1620996779.7279012
166,1,feedback,0,0.812433062918799,59.0,1620996782.3440928
167,1,feedback,0,0.052970723624959984,60.0,1620996784.0874283
