,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,sub002,1,6,0,,0,,,,,,,
1,sub002,1,7,2,,0,,,,,,,
2,sub002,1,8,4,,0,,,,,,,
3,sub002,1,9,6,B,0.0,,2,0.41667368600610644,,18.005090883991215,19.021763903001556,19.921769598993706
4,sub002,1,10,8,,0,,,,,,,
5,sub002,1,11,10,,0,,,,,,,
6,sub002,1,12,12,A,0.0,,1,0.06668073900800664,,24.0051317789912,25.02179864399659,25.921803563993308
7,sub002,1,13,14,,0,,,,,,,
8,sub002,1,14,16,,0,,,,,,,
9,sub002,1,15,18,C,0.0,,1,0.13334401200700086,,30.005164735994185,31.021833645994775,31.921850083992467
10,sub002,1,16,20,,0,,,,,,,
11,sub002,1,17,22,,0,,,,,,,
12,sub002,1,18,24,,0,,,,,,,
13,sub002,1,19,26,D,0.0,,2,-0.09999646100914106,,38.00521082300111,39.02187882400176,39.921886127995094
14,sub002,1,20,28,,0,,,,,,,
15,sub002,1,21,30,,0,,,,,,,
16,sub002,1,22,32,C,0.0,,1,0.15000646399857942,,44.00524179700005,45.021921609994024,45.921941145003075
17,sub002,1,23,34,,0,,,,,,,
18,sub002,1,24,36,,0,,,,,,,
19,sub002,1,25,38,D,0.0,,2,0.08334603100956883,,50.00533898199501,51.02194167999551,51.92194473699783
20,sub002,1,26,40,,0,,,,,,,
21,sub002,1,27,42,,0,,,,,,,
22,sub002,1,28,44,B,0.0,,2,0.4166679759946419,,56.00531688499905,57.02198810799746,57.92198239499703
23,sub002,1,29,46,,0,,,,,,,
24,sub002,1,30,48,A,0.0,,1,0.0166689879988553,,60.00534111399611,61.022010101994965,61.92201273799583
25,sub002,1,31,50,,0,,,,,,,
26,sub002,1,32,52,,0,,,,,,,
27,sub002,1,33,54,C,0.0,,1,-0.0499989679956343,,66.0053773039981,67.02204347000225,67.92205717400066
28,sub002,1,34,56,,0,,,,,,,
29,sub002,1,35,58,D,0.0,,2,0.15000136199523695,,70.00540286400064,71.02206738200039,71.92207934599719
30,sub002,1,36,60,,0,,,,,,,
31,sub002,1,37,62,,0,,,,,,,
32,sub002,1,38,64,A,0.0,,1,0.03406907700991724,,76.00543894799193,77.0221085499943,77.92212021099112
33,sub002,1,39,66,,0,,,,,,,
34,sub002,1,40,68,,0,,,,,,,
35,sub002,1,41,70,B,0.0,,2,0.033408627001335844,,82.00547895100317,83.02214502399147,83.92215244499675
36,sub002,1,42,72,,0,,,,,,,
37,sub002,1,43,74,,0,,,,,,,
38,sub002,1,44,76,A,0.0,,1,-0.1999961270048516,,88.0055188779952,89.02218252199236,89.92219930099964
39,sub002,1,45,78,,0,,,,,,,
40,sub002,1,46,80,,0,,,,,,,
41,sub002,1,47,82,,0,,,,,,,
42,sub002,1,48,84,C,0.0,,1,-0.03333409100014251,,96.0055746720027,97.02224293499603,97.92224920899025
43,sub002,1,49,86,,0,,,,,,,
44,sub002,1,50,88,,0,,,,,,,
45,sub002,1,51,90,D,0.0,,2,-0.09999351100123022,,102.00561139799538,103.0222874040046,103.92228710200288
46,sub002,1,52,92,,0,,,,,,,
47,sub002,1,53,94,,0,,,,,,,
48,sub002,1,54,96,C,0.0,,1,0.31668157799867913,,108.00564784699236,109.02232777999598,109.92232621999574
49,sub002,1,55,98,,0,,,,,,,
50,sub002,1,56,100,,0,,,,,,,
51,sub002,1,57,102,,0,,,,,,,
52,sub002,1,58,104,B,0.0,,2,-0.116664036992006,,116.00570766799501,117.0223757460044,117.92238305500359
53,sub002,1,59,106,,0,,,,,,,
54,sub002,1,60,108,,0,,,,,,,
55,sub002,1,61,110,C,0.0,,1,0.20000946198706515,,122.00574867200339,123.02242472399666,123.9224484610022
56,sub002,1,62,112,,0,,,,,,,
57,sub002,1,63,114,B,0.0,,2,0.2666756240068935,,126.00578351099102,127.0224476059957,127.92246132499713
58,sub002,1,64,116,,0,,,,,,,
59,sub002,1,65,118,,0,,,,,,,
60,sub002,1,66,120,D,0.0,,2,0.2833314989984501,,132.00583176099462,133.02249053299602,133.9224964390014
61,sub002,1,67,122,,0,,,,,,,
62,sub002,1,68,124,B,0.0,,2,0.2666809360089246,,136.00584581699513,137.0225206759933,137.9225452929968
63,sub002,1,69,126,,0,,,,,,,
