TR,morphParam,states,points
9,13,feedback,0
10,9,feedback,0
11,5,feedback,0
12,5,feedback,0
13,1,feedback,0
23,9,feedback,0
24,5,feedback,0
25,1,feedback,0
26,1,feedback,0
27,1,feedback,0
37,13,feedback,0
38,13,feedback,0
39,9,feedback,0
40,5,feedback,0
41,1,feedback,0
51,9,feedback,0
52,5,feedback,0
53,1,feedback,0
54,1,feedback,0
55,1,feedback,0
65,9,feedback,0
66,5,feedback,0
67,5,feedback,0
68,5,feedback,0
69,5,feedback,0
79,13,feedback,0
80,13,feedback,0
81,13,feedback,0
82,9,feedback,0
83,9,feedback,0
93,13,feedback,0
94,13,feedback,0
95,13,feedback,0
96,13,feedback,0
97,13,feedback,0
107,13,feedback,0
108,9,feedback,0
109,9,feedback,0
110,9,feedback,0
111,9,feedback,0
121,9,feedback,0
122,9,feedback,0
123,9,feedback,0
124,9,feedback,0
125,9,feedback,0
135,13,feedback,0
136,13,feedback,0
137,13,feedback,0
138,9,feedback,0
139,9,feedback,0
149,13,feedback,0
150,13,feedback,0
151,13,feedback,0
152,13,feedback,0
153,13,feedback,0
163,13,feedback,0
164,9,feedback,0
165,5,feedback,0
166,5,feedback,0
167,1,feedback,0
