,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,sub002,5,6,0,,0,,,,,,,
1,sub002,5,7,2,,0,,,,,,,
2,sub002,5,8,4,,0,,,,,,,
3,sub002,5,9,6,D,0.0,,2,0.26667471701512113,,18.014919084962457,19.031587406003382,19.931596780952532
4,sub002,5,10,8,,0,,,,,,,
5,sub002,5,11,10,C,0.0,,1,0.25001228298060596,,22.014948521973565,23.03162004298065,23.93163074599579
6,sub002,5,12,12,,0,,,,,,,
7,sub002,5,13,14,B,0.0,,2,0.483348561974708,,26.01497818500502,27.03165880899178,27.93166999798268
8,sub002,5,14,16,,0,,,,,,,
9,sub002,5,15,18,D,0.0,,2,0.2833462950075045,,30.015006244997494,31.031683509994764,31.931688103999477
10,sub002,5,16,20,,0,,,,,,,
11,sub002,5,17,22,,0,,,,,,,
12,sub002,5,18,24,B,0.0,,2,0.3666855359915644,,36.01506350096315,37.06505206099246,37.96507192298304
13,sub002,5,19,26,,0,,,,,,,
14,sub002,5,20,28,,0,,,,,,,
15,sub002,5,21,30,A,0.0,,1,0.2666693539940752,,42.0151054179878,43.031789225002285,43.931783160951454
16,sub002,5,22,32,,0,,,,,,,
17,sub002,5,23,34,C,0.0,,1,0.28335247398354113,,46.01512167498004,47.03181489696726,47.93181820696918
18,sub002,5,24,36,,0,,,,,,,
19,sub002,5,25,38,,0,,,,,,,
20,sub002,5,26,40,,0,,,,,,,
21,sub002,5,27,42,D,0.0,,2,0.30001180700492114,,54.015190098958556,55.03185795497848,55.931867819977924
22,sub002,5,28,44,,0,,,,,,,
23,sub002,5,29,46,,0,,,,,,,
24,sub002,5,30,48,A,0.0,,1,0.31668862397782505,,60.01522818399826,61.03191430395236,61.93191205896437
25,sub002,5,31,50,,0,,,,,,,
26,sub002,5,32,52,C,0.0,,1,0.3666705070063472,,64.015268379997,65.03192818898242,65.93194151599891
27,sub002,5,33,54,,0,,,,,,,
28,sub002,5,34,56,,0,,,,,,,
