,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off,Trial_ID
0,sub003,6,3,0,,0,,,,,,,,
1,sub003,6,4,2,,0,,,,,,,,
2,sub003,6,5,4,,0,,,,,,,,
3,sub003,6,6,6,C,0.0,,1,0.4500164709997989,,12.014960963999783,13.031706699999631,13.931650224999885,0
4,sub003,6,7,8,,0,,,,,,,,
5,sub003,6,8,10,A,0.0,,1,0.4166827240001112,,16.01502056299978,17.031769811999766,17.931706367999595,1
6,sub003,6,9,12,,0,,,,,,,,
7,sub003,6,10,14,D,0.0,,2,0.3333513759998823,,20.015203603999908,21.031973542999822,21.931893677999597,2
8,sub003,6,11,16,,0,,,,,,,,
9,sub003,6,12,18,,0,,,,,,,,
10,sub003,6,13,20,,0,,,,,,,,
11,sub003,6,14,22,B,0.0,,2,0.65002060300003,,28.015299389999655,29.032052892999673,29.931984459999967,3
12,sub003,6,15,24,,0,,,,,,,,
13,sub003,6,16,26,D,0.0,,2,0.450011665999682,,32.01533543400001,33.03211178999982,33.93201528700001,4
14,sub003,6,17,28,,0,,,,,,,,
15,sub003,6,18,30,,0,,,,,,,,
16,sub003,6,19,32,,0,,,,,,,,
17,sub003,6,20,34,A,0.0,,1,0.3833565350000754,,40.01541052899984,41.032188934999795,41.932098679999854,5
18,sub003,6,21,36,,0,,,,,,,,
19,sub003,6,22,38,,0,,,,,,,,
20,sub003,6,23,40,,0,,,,,,,,
21,sub003,6,24,42,C,0.0,,1,0.34999433599978147,,48.01550964299986,49.0322680219997,49.9321823209998,6
22,sub003,6,25,44,,0,,,,,,,,
23,sub003,6,26,46,B,0.0,,2,0.300004829000045,,52.015558510999654,53.032303085999956,53.93222450999974,7
24,sub003,6,27,48,,0,,,,,,,,
25,sub003,6,28,50,,0,,,,,,,,
26,sub003,6,29,52,A,0.0,,1,0.31666726099956577,,58.01561773000003,59.03236111199976,59.93230060799988,8
27,sub003,6,30,54,,0,,,,,,,,
28,sub003,6,31,56,,0,,,,,,,,
29,sub003,6,32,58,,0,,,,,,,,
30,sub003,6,33,60,D,0.0,,2,0.33336225799985186,,66.01568250899982,67.03245509299995,67.93237962699959,9
31,sub003,6,34,62,,0,,,,,,,,
32,sub003,6,35,64,B,0.0,,2,0.36667443700025615,,70.01573334899967,71.03249590099995,71.93241062499965,10
33,sub003,6,36,66,,0,,,,,,,,
34,sub003,6,37,68,,0,,,,,,,,
35,sub003,6,38,70,C,0.0,,1,0.3833553119998214,,76.01580001100001,77.0325577919998,77.93247446299983,11
36,sub003,6,39,72,,0,,,,,,,,
37,sub003,6,40,74,,0,,,,,,,,
38,sub003,6,41,76,,0,,,,,,,,
39,sub003,6,42,78,A,0.0,,1,0.4500167959999999,,84.01588479799966,85.03264078599977,85.93255645499994,12
40,sub003,6,43,80,,0,,,,,,,,
41,sub003,6,44,82,D,0.0,,2,0.38336345600009736,,88.01591270399967,89.03268681899999,89.93260197799964,13
42,sub003,6,45,84,,0,,,,,,,,
43,sub003,6,46,86,,0,,,,,,,,
44,sub003,6,47,88,C,0.0,,1,0.30002158299976145,,94.01598096199996,95.03275683899983,95.9326643039999,14
45,sub003,6,48,90,,0,,,,,,,,
46,sub003,6,49,92,B,0.0,,2,0.6667599100001098,,98.0160267389997,99.03279882499965,99.93271446399967,15
47,sub003,6,50,94,,0,,,,,,,,
48,sub003,6,51,96,,0,,,,,,,,
49,sub003,6,52,98,,0,,,,,,,,
50,sub003,6,53,100,A,0.0,,1,0.2833236010001201,,106.01615579399959,107.03287082799989,107.93279920099985,16
51,sub003,6,54,102,,0,,,,,,,,
52,sub003,6,55,104,,0,,,,,,,,
