time,imnum,imcode,path,corrAns,axis,button_left,button_right,viewPoint
156.0,11.0,L,carchair_exp/tableBench_100_6.png,100,tableBench,Table,Bench,6
158.5,5.0,F,carchair_exp/bedChair_100_6.png,100,bedChair,Bed,Chair,6
161.0,8.0,I,carchair_exp/tableBench_41_3.png,41,tableBench,Table,Bench,3
163.5,0.0,A,carchair_exp/bedChair_1_30.png,1,bedChair,Bed,Chair,30
166.0,5.0,F,carchair_exp/bedChair_100_24.png,100,bedChair,Bed,Chair,24
168.5,8.0,I,carchair_exp/tableBench_41_30.png,41,tableBench,Table,Bench,30
171.0,3.0,D,carchair_exp/bedChair_60_12.png,60,bedChair,Bed,Chair,12
173.5,10.0,K,carchair_exp/tableBench_80_27.png,80,tableBench,Table,Bench,27
176.0,11.0,L,carchair_exp/tableBench_100_24.png,100,tableBench,Table,Bench,24
178.5,3.0,D,carchair_exp/bedChair_60_39.png,60,bedChair,Bed,Chair,39
181.0,2.0,C,carchair_exp/bedChair_41_36.png,41,bedChair,Bed,Chair,36
183.5,3.0,D,carchair_exp/bedChair_60_6.png,60,bedChair,Bed,Chair,6
186.0,11.0,L,carchair_exp/tableBench_100_21.png,100,tableBench,Table,Bench,21
188.5,9.0,J,carchair_exp/tableBench_60_3.png,60,tableBench,Table,Bench,3
191.0,10.0,K,carchair_exp/tableBench_80_18.png,80,tableBench,Table,Bench,18
193.5,2.0,C,carchair_exp/bedChair_41_21.png,41,bedChair,Bed,Chair,21
196.0,6.0,G,carchair_exp/tableBench_1_30.png,1,tableBench,Table,Bench,30
198.5,10.0,K,carchair_exp/tableBench_80_3.png,80,tableBench,Table,Bench,3
201.0,0.0,A,carchair_exp/bedChair_1_3.png,1,bedChair,Bed,Chair,3
203.5,8.0,I,carchair_exp/tableBench_41_27.png,41,tableBench,Table,Bench,27
206.0,2.0,C,carchair_exp/bedChair_41_6.png,41,bedChair,Bed,Chair,6
208.5,11.0,L,carchair_exp/tableBench_100_39.png,100,tableBench,Table,Bench,39
211.0,3.0,D,carchair_exp/bedChair_60_30.png,60,bedChair,Bed,Chair,30
213.5,5.0,F,carchair_exp/bedChair_100_3.png,100,bedChair,Bed,Chair,3
216.0,11.0,L,carchair_exp/tableBench_100_12.png,100,tableBench,Table,Bench,12
218.5,9.0,J,carchair_exp/tableBench_60_6.png,60,tableBench,Table,Bench,6
221.0,0.0,A,carchair_exp/bedChair_1_24.png,1,bedChair,Bed,Chair,24
223.5,4.0,E,carchair_exp/bedChair_80_9.png,80,bedChair,Bed,Chair,9
226.0,10.0,K,carchair_exp/tableBench_80_9.png,80,tableBench,Table,Bench,9
228.5,7.0,H,carchair_exp/tableBench_21_27.png,21,tableBench,Table,Bench,27
231.0,8.0,I,carchair_exp/tableBench_41_39.png,41,tableBench,Table,Bench,39
233.5,0.0,A,carchair_exp/bedChair_1_12.png,1,bedChair,Bed,Chair,12
236.0,6.0,G,carchair_exp/tableBench_1_12.png,1,tableBench,Table,Bench,12
238.5,1.0,B,carchair_exp/bedChair_21_33.png,21,bedChair,Bed,Chair,33
241.0,7.0,H,carchair_exp/tableBench_21_12.png,21,tableBench,Table,Bench,12
243.5,1.0,B,carchair_exp/bedChair_21_9.png,21,bedChair,Bed,Chair,9
246.0,9.0,J,carchair_exp/tableBench_60_39.png,60,tableBench,Table,Bench,39
248.5,3.0,D,carchair_exp/bedChair_60_3.png,60,bedChair,Bed,Chair,3
251.0,8.0,I,carchair_exp/tableBench_41_21.png,41,tableBench,Table,Bench,21
253.5,4.0,E,carchair_exp/bedChair_80_18.png,80,bedChair,Bed,Chair,18
256.0,5.0,F,carchair_exp/bedChair_100_39.png,100,bedChair,Bed,Chair,39
258.5,4.0,E,carchair_exp/bedChair_80_33.png,80,bedChair,Bed,Chair,33
261.0,5.0,F,carchair_exp/bedChair_100_12.png,100,bedChair,Bed,Chair,12
263.5,7.0,H,carchair_exp/tableBench_21_39.png,21,tableBench,Table,Bench,39
266.0,1.0,B,carchair_exp/bedChair_21_18.png,21,bedChair,Bed,Chair,18
268.5,6.0,G,carchair_exp/tableBench_1_27.png,1,tableBench,Table,Bench,27
271.0,1.0,B,carchair_exp/bedChair_21_12.png,21,bedChair,Bed,Chair,12
273.5,8.0,I,carchair_exp/tableBench_41_6.png,41,tableBench,Table,Bench,6
276.0,2.0,C,carchair_exp/bedChair_41_9.png,41,bedChair,Bed,Chair,9
278.5,7.0,H,carchair_exp/tableBench_21_30.png,21,tableBench,Table,Bench,30
281.0,6.0,G,carchair_exp/tableBench_1_3.png,1,tableBench,Table,Bench,3
283.5,0.0,A,carchair_exp/bedChair_1_18.png,1,bedChair,Bed,Chair,18
286.0,11.0,L,carchair_exp/tableBench_100_30.png,100,tableBench,Table,Bench,30
288.5,10.0,K,carchair_exp/tableBench_80_30.png,80,tableBench,Table,Bench,30
291.0,9.0,J,carchair_exp/tableBench_60_15.png,60,tableBench,Table,Bench,15
293.5,5.0,F,carchair_exp/bedChair_100_9.png,100,bedChair,Bed,Chair,9
296.0,10.0,K,carchair_exp/tableBench_80_36.png,80,tableBench,Table,Bench,36
298.5,3.0,D,carchair_exp/bedChair_60_24.png,60,bedChair,Bed,Chair,24
301.0,7.0,H,carchair_exp/tableBench_21_21.png,21,tableBench,Table,Bench,21
303.5,4.0,E,carchair_exp/bedChair_80_6.png,80,bedChair,Bed,Chair,6
306.0,9.0,J,carchair_exp/tableBench_60_9.png,60,tableBench,Table,Bench,9
308.5,10.0,K,carchair_exp/tableBench_80_39.png,80,tableBench,Table,Bench,39
311.0,5.0,F,carchair_exp/bedChair_100_27.png,100,bedChair,Bed,Chair,27
313.5,8.0,I,carchair_exp/tableBench_41_15.png,41,tableBench,Table,Bench,15
316.0,6.0,G,carchair_exp/tableBench_1_39.png,1,tableBench,Table,Bench,39
318.5,1.0,B,carchair_exp/bedChair_21_27.png,21,bedChair,Bed,Chair,27
321.0,7.0,H,carchair_exp/tableBench_21_18.png,21,tableBench,Table,Bench,18
323.5,6.0,G,carchair_exp/tableBench_1_9.png,1,tableBench,Table,Bench,9
326.0,11.0,L,carchair_exp/tableBench_100_33.png,100,tableBench,Table,Bench,33
328.5,2.0,C,carchair_exp/bedChair_41_30.png,41,bedChair,Bed,Chair,30
331.0,9.0,J,carchair_exp/tableBench_60_21.png,60,tableBench,Table,Bench,21
333.5,0.0,A,carchair_exp/bedChair_1_15.png,1,bedChair,Bed,Chair,15
336.0,4.0,E,carchair_exp/bedChair_80_12.png,80,bedChair,Bed,Chair,12
338.5,8.0,I,carchair_exp/tableBench_41_9.png,41,tableBench,Table,Bench,9
341.0,11.0,L,carchair_exp/tableBench_100_9.png,100,tableBench,Table,Bench,9
343.5,1.0,B,carchair_exp/bedChair_21_3.png,21,bedChair,Bed,Chair,3
346.0,2.0,C,carchair_exp/bedChair_41_3.png,41,bedChair,Bed,Chair,3
348.5,3.0,D,carchair_exp/bedChair_60_21.png,60,bedChair,Bed,Chair,21
351.0,4.0,E,carchair_exp/bedChair_80_36.png,80,bedChair,Bed,Chair,36
353.5,0.0,A,carchair_exp/bedChair_1_21.png,1,bedChair,Bed,Chair,21
356.0,3.0,D,carchair_exp/bedChair_60_27.png,60,bedChair,Bed,Chair,27
358.5,5.0,F,carchair_exp/bedChair_100_33.png,100,bedChair,Bed,Chair,33
