time,imnum,dur,weight,imcode,path,corrAns,axis,button_left,button_right,viewPoint,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,button_left_.started,button_left_.stopped,button_right_.started,button_right_.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1.0,0.0,1.5,1,A,./carchair_exp/bedChair_1_15.png,1,bedChair,Bed,Chair,15,0,0,0,0,8.901023227001133,None,[['left']],[0.6568576520003262],None,None,8.901023227001133,None,8.901023227001133,None,1,001,2020_Mar_29_2108,preScanningBehaviorTest,2020.1.1,59.789056555488344,
3.5,1.0,1.5,1,B,./carchair_exp/bedChair_21_18.png,21,bedChair,Bed,Chair,18,0,1,1,1,11.37298062699847,None,[['right']],[0.8993238809998729],None,None,11.37298062699847,None,11.37298062699847,None,1,001,2020_Mar_29_2108,preScanningBehaviorTest,2020.1.1,59.789056555488344,
6.0,10.0,1.5,1,K,./carchair_exp/tableBench_80_9.png,80,tableBench,Table,Bench,9,0,2,2,2,13.891012489999412,None,"[['left'], ['left']]","[0.12783846000093035, 0.5243287299963413]",None,None,13.891012489999412,None,13.891012489999412,None,1,001,2020_Mar_29_2108,preScanningBehaviorTest,2020.1.1,59.789056555488344,
